timer                                                                               ms      calls
CODEXM                                                                              97          1
  parseBuiltinCheckers                                                              97          1
__BAD_CERT_VERIFICATION_CODEXM                                                       1          3
CUSTOM_KEYBOARD_DATA_LEAK                                                            0          2
__HARDCODED_CREDENTIALS_URL                                                          0          1
INSECURE_MULTIPEER_CONNECTION                                                        0          1
CONFIG.JSONWEBTOKEN_NON_EXPIRING_TOKEN                                               0          1
__RISKY_CRYPTO_JS_CODEXM                                                             0          1
__RISKY_CRYPTO_CODEXM                                                                0          2
CONFIG.SEQUELIZE_INSECURE_CONNECTION                                                 0          1
CONFIG.SEQUELIZE_ENABLED_LOGGING                                                     0          1
CONFIG.SOCKETIO_MAXHTTPBUFFERSIZE_SET_TOO_LARGE                                      0          1
CONFIG.SOCKETIO_ORIGINS_ACCEPT_ALL                                                   0          1
WEAK_BIOMETRIC_AUTH                                                                  0          1
__BAD_CERT_VERIFICATION_BRAKEMAN                                                     0          1
BLACKLIST_FOR_AUTHN                                                                  0          1
__CSRF_BRAKEMAN                                                                      0          1
__DIVIDE_BY_ZERO_BRAKEMAN                                                            0          1
DYNAMIC_OBJECT_ATTRIBUTES                                                            0          1
__HARDCODED_CREDENTIALS_BRAKEMAN                                                     0          1
__OPEN_REDIRECT_BRAKEMAN                                                             0          1
__OS_CMD_INJECTION_BRAKEMAN                                                          0          1
__PATH_MANIPULATION_BRAKEMAN                                                         0          1
RAILS_DEFAULT_ROUTES                                                                 0          1
RAILS_DEVISE_CONFIG                                                                  0          1
RAILS_MISSING_FILTER_ACTION                                                          0          1
__REGEX_INJECTION_BRAKEMAN                                                           0          1
REGEX_MISSING_ANCHOR                                                                 0          1
__RESOURCE_LEAK_BRAKEMAN                                                             0          1
RUBY_VULNERABLE_LIBRARY                                                              0          1
__SCRIPT_CODE_INJECTION_BRAKEMAN                                                     0          1
__SENSITIVE_DATA_LEAK_BRAKEMAN                                                       0          1
SESSION_MANIPULATION                                                                 0          1
__SQLI_BRAKEMAN                                                                      0          1
UNSAFE_BASIC_AUTH                                                                    0          1
__UNSAFE_DESERIALIZATION_BRAKEMAN                                                    0          1
__UNSAFE_REFLECTION_BRAKEMAN                                                         0          1
UNSAFE_SESSION_SETTING                                                               0          1
__WEAK_PASSWORD_HASH_BRAKEMAN                                                        0          1
__XSS_BRAKEMAN                                                                       0          1
PW.*.DEFAULT                                                                         0          1
PW.*                                                                                 0          1
PARSE_ERROR                                                                          0          1
BAD_CERT_VERIFICATION                                                                0          1
WEAK_PASSWORD_HASH                                                                   0          1
HARDCODED_CREDENTIALS                                                                0          1
WEAK_GUARD                                                                           0          1
XSS                                                                                  0          1
SQLI                                                                                 0          1
PATH_MANIPULATION                                                                    0          1
OPEN_REDIRECT                                                                        0          1
OS_CMD_INJECTION                                                                     0          1
UNENCRYPTED_SENSITIVE_DATA                                                           0          1
CSRF                                                                                 0          1
HEADER_INJECTION                                                                     0          1
REGEX_INJECTION                                                                      0          1
NOSQL_QUERY_INJECTION                                                                0          1
SCRIPT_CODE_INJECTION                                                                0          1
SENSITIVE_DATA_LEAK                                                                  0          1
RISKY_CRYPTO                                                                         0          1
MISSING_AUTHZ                                                                        0          1
UNSAFE_DESERIALIZATION                                                               0          1
UNSAFE_REFLECTION                                                                    0          1
INSECURE_RANDOM                                                                      0          1
INSECURE_SALT                                                                        0          1
XPATH_INJECTION                                                                      0          1
URL_MANIPULATION                                                                     0          1
INSUFFICIENT_LOGGING                                                                 0          1
XML_EXTERNAL_ENTITY                                                                  0          1
TAINTED_ENVIRONMENT_WITH_EXECUTION                                                   0          1
directive validation: global                                                         2          2
sequential initialization                                                           58          1
  Load emit data                                                                     3          1
  Looking for translation units                                                      0          1
  xfer model                                                                         0         36
  Web-app archive linking                                                            0          1
  xfer symbol cache                                                                  0          1
    getMangledNameMiss                                                               0          5
      retrieve_string_from_table                                                     0          5
    getAltFunctionNameString                                                         0         16
  Deduplication                                                                      0          1
  Deduplicator::build_global_partition_map                                           0          1
  Module linking                                                                     0          1
  function pointer analysis                                                          1          1
    readFromCache                                                                    1          1
    addTUFnPtrUnification                                                            0         23
    Aggregating data                                                                 0          1
    writeToCache                                                                     0          1
  Computing callgraph                                                                1          1
    getFunctions                                                                     0          4
      select CallgraphFragment cols                                                  0          4
        query                                                                        0          4
      CallgraphFragment::load                                                        0          4
        xferDecls                                                                    0          8
          xferSize (+ alloc)                                                         0          8
          xferDeclFields                                                             0          8
            getAltFunctionNameString                                                 0         16
    TUInfo::getTULinks                                                               0          4
  Topologically sorting functions                                                    0          1
    Topo sort getCallees                                                             0          4
      getCallees                                                                     0          4
        getCalleesNoCache                                                            0          4
  callgraph metrics                                                                 19          1
    new callgraph metrics                                                           19          1
      getCallers                                                                     0          4
        getCallersNoCache                                                            0          4
      calculateReachableNodes                                                        0          1
        countReachableNodes                                                          0          1
      write_metrics_file                                                            19          1
        computeHasModelFlag                                                         13          4
          Check for user model                                                       0          4
          Check for built-in custom model                                            1          4
            PreviousModelNoCache                                                     1          4
              PreviousModelNoCache                                                   1          4
                read_model                                                           1          4
                  HashKVS find                                                       1          4
          Check for XML models                                                      12          4
            xfer model                                                               0         79
        findBuiltInImplModel                                                         0         48
  (left over)                                                                       34
directive validation: global emit pre-opt                                            0          2
directive resolution pre-pass: master                                               11          2
  getFunctions                                                                       0          4
    select CallgraphFragment cols                                                    0          4
      query                                                                          0          4
    CallgraphFragment::load                                                          0          4
      xferDecls                                                                      0          8
        xferSize (+ alloc)                                                           0          8
        xferDeclFields                                                               0          8
          getAltFunctionNameString                                                   0         16
directive validation: global emit post-opt                                           0          1
  directive validation: global emit post-opt                                         0          2
rawservlet framework analyzer                                                        0          1
remediation::collect_technologies_in_use                                             6          1
  getCallers                                                                         0          4
HashKVS find                                                                         0          2
Computing node costs                                                                 1          1
  getCallees                                                                         0          4
  getCallers                                                                         0         28
Analysis run                                                                      2720          1
  add node                                                                        2696         69
    CODEXM                                                                           0          1
    CSRF                                                                             0          1
    HARDCODED_CREDENTIALS                                                            0          1
    MISSING_AUTHZ                                                                    0          1
    NOSQL_QUERY_INJECTION                                                            0          1
    OPEN_REDIRECT                                                                    0          1
    OS_CMD_INJECTION                                                                 0          1
    PATH_MANIPULATION                                                                0          1
